# NeoMOM Impedance Sweep
# 2026-07-06, T10:55:32
# title       : 40 m center fed dipole — impedance sweep
# file        : Center_fed_40m_dipole_Zin.nml
# ground      : FREE_SPACE
# nports      : 1
# nfreq       : 201
# fstart_MHz  : 6.5000
# fstop_MHz   : 8.5000
# fstep_MHz   : .0100
# z0_ref_Ohm  : 50.0
#
# freq_MHz    Rin_Ohm    Xin_Ohm    Zin_Ohm    Gin_S      Bin_S      Yin_S      SWR
   7.51000       80.1540       55.7863       97.6564      0.840473E-02 -0.584960E-02  0.102400E-01   2.62203    
   7.52000       80.5017       58.0013       99.2203      0.817718E-02 -0.589164E-02  0.100786E-01   2.69602    
   7.53000       80.8506       60.2135       100.809      0.795579E-02 -0.592507E-02  0.991973E-02   2.77150    
   7.54000       81.2013       62.4250       102.423      0.774044E-02 -0.595060E-02  0.976340E-02   2.84853    
   7.55000       81.5538       64.6458       104.068      0.753029E-02 -0.596909E-02  0.960912E-02   2.92744    
   7.56000       81.9075       66.8619       105.732      0.732668E-02 -0.598083E-02  0.945783E-02   3.00772    
   7.57000       82.2631       69.0801       107.421      0.712896E-02 -0.598652E-02  0.930916E-02   3.08960    
   7.58000       82.6197       71.2957       109.129      0.693753E-02 -0.598666E-02  0.916349E-02   3.17288    
   7.59000       82.9784       73.5140       110.859      0.675185E-02 -0.598174E-02  0.902047E-02   3.25776    
   7.60000       83.3386       75.7342       112.610      0.657193E-02 -0.597226E-02  0.888021E-02   3.34418    
   7.61000       83.7002       77.9547       114.379      0.639780E-02 -0.595863E-02  0.874283E-02   3.43208    
   7.62000       84.0637       80.1740       116.166      0.622945E-02 -0.594120E-02  0.860836E-02   3.52136    
   7.63000       84.4290       82.4017       117.976      0.606604E-02 -0.592039E-02  0.847631E-02   3.61243    
   7.64000       84.7960       84.6265       119.800      0.590830E-02 -0.589649E-02  0.834725E-02   3.70480    
   7.65000       85.1644       86.8505       121.639      0.575591E-02 -0.586987E-02  0.822106E-02   3.79853    
   7.66000       85.5343       89.0755       123.493      0.560860E-02 -0.584080E-02  0.809761E-02   3.89369    
   7.67000       85.9056       91.2981       125.360      0.546643E-02 -0.580957E-02  0.797703E-02   3.99011    
